 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus

 INPUT-1 ,169,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,169,ENTRY PRESENT,0,0,555.27







 INPUT-1 ,451,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,451,ENTRY PRESENT,0,0,407



 INPUT-1 ,822,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,822,ENTRY PRESENT,0,0,782

 INPUT-1 ,836,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,836,ENTRY PRESENT,0,0,282

 INPUT-1 ,877,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,877,ENTRY PRESENT,0,0,89



 INPUT-1 ,979,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,979,ENTRY PRESENT,0,0,260

 INPUT-1 ,1413,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1413,ENTRY PRESENT,0,0,204.8

 INPUT-1 ,1551,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1551,ENTRY PRESENT,0,0,204.25

 INPUT-1 ,1750,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1750,ENTRY PRESENT,0,0,129

 INPUT-1 ,1820,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1820,ENTRY PRESENT,0,0,107

 INPUT-1 ,1863,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1863,ENTRY PRESENT,0,0,309

 INPUT-1 ,1967,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,1967,ENTRY PRESENT,0,0,899.25


 INPUT-1 ,2342,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2342,ENTRY PRESENT,0,0,71.75

 INPUT-1 ,2360,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2360,ENTRY PRESENT,0,0,3

 INPUT-1 ,2439,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2439,ENTRY PRESENT,0,0,133.5

 INPUT-1 ,2468,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2468,ENTRY PRESENT,0,0,649.2

 INPUT-1 ,2505,ENTRY PRESENT,0,0,146
 INPUT-2 ,2505,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT

 INPUT-1 ,2648,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2648,ENTRY PRESENT,0,0,1049

 INPUT-1 ,2852,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,2852,ENTRY PRESENT,0,0,363

 INPUT-1 ,3431,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,3431,ENTRY PRESENT,0,0,576

 INPUT-1 ,3527,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,3527,ENTRY PRESENT,0,0,378

 INPUT-1 ,3639,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,3639,ENTRY PRESENT,0,0,322

 INPUT-1 ,3819,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,3819,ENTRY PRESENT,0,0,195.75

 INPUT-1 ,4006,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,4006,ENTRY PRESENT,0,0,87

 INPUT-1 ,4424,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,4424,ENTRY PRESENT,0,0,706

 INPUT-1 ,4449,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,4449,ENTRY PRESENT,0,0,95

 INPUT-1 ,4462,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
